0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,target
2336,0,0,1980.0,1,1,1,1,0,0,0,2,2,2,2,0,0,0,0,0,6,0,0,4.0,27.0,10.0,4.0,0,0,0,0,16.0,16.0,16.0,16.0,40.0,40.0,40.0,40.0,4436.0
2350,0,0,1980.25,1,1,1,1,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,7.0,18.0,22.0,8.0,0,0,0,0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,4332.0
2393,1,0,1979.5,1,1,1,1,1,1,1,3,3,3,3,3,1,1,0,0,0,0,0,12.0,15.0,14.0,36.0,0,0,0,0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,4860.0
2439,0,0,1980.75,0,0,0,0,1,1,1,2,2,2,2,1,0,0,1,0,3,4,0,4.0,2.0,2.0,13.0,0,0,0,0,42.0,42.0,42.0,42.0,80.0,80.0,80.0,80.0,4756.0
2591,1,0,1980.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,3,0,18.0,18.0,15.0,5.0,0,0,1,0,17.0,17.0,17.0,17.0,41.0,41.0,41.0,41.0,5009.0
2669,0,1,1980.25,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,4,0,1,12.0,5.0,35.0,9.0,1,0,1,1,11.0,11.0,11.0,11.0,27.0,27.0,27.0,27.0,4535.0
2701,0,0,1980.25,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6,14.0,4.0,25.0,21.0,1,0,1,0,11.0,11.0,11.0,11.0,21.0,21.0,21.0,21.0,4164.0
2730,0,0,1980.5,1,1,1,1,1,1,1,2,2,2,2,1,0,1,0,0,0,0,0,13.0,6.0,17.0,10.0,0,0,0,0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,4490.0
2904,0,0,1979.75,0,2,2,0,1,1,1,2,2,2,2,1,0,0,0,0,3,6,3,5.0,2.0,19.0,1.0,0,0,0,0,19.0,19.0,19.0,19.0,47.0,47.0,47.0,47.0,4544.0
2972,1,1,1980.25,2,2,2,2,0,0,0,2,2,2,2,0,0,0,1,0,0,6,0,13.0,16.0,4.0,14.0,0,0,1,0,8.0,8.0,8.0,8.0,11.0,11.0,11.0,11.0,4011.0
3008,0,0,1980.0,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,5.0,11.0,8.0,16.0,0,0,0,0,12.0,12.0,12.0,12.0,35.0,35.0,34.0,34.0,4512.0
3104,0,1,1980.0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,10.0,3.0,4.0,15.0,1,0,1,1,11.0,11.0,11.0,11.0,27.0,27.0,27.0,27.0,4516.0
3286,0,1,1979.75,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,3,0,6,4,2.0,17.0,2.0,3.0,0,1,0,1,11.0,11.0,11.0,11.0,30.0,30.0,30.0,30.0,4262.0
3645,1,0,1980.25,2,2,2,2,1,1,1,2,2,2,2,1,1,0,1,0,3,0,1,5.0,2.0,22.0,10.0,0,0,0,0,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0,4527.0
3723,1,0,1980.5,2,2,2,2,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,12.0,39.0,9.0,16.0,0,0,0,0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,4860.0
3757,1,1,1980.25,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,3,11.0,0.0,1.0,3.0,0,1,0,0,18.0,18.0,18.0,18.0,45.0,45.0,45.0,45.0,4713.0
3767,1,0,1979.75,1,1,1,1,1,1,1,2,2,2,2,3,1,1,1,0,0,0,0,8.0,3.0,12.0,14.0,0,0,0,0,41.0,41.0,41.0,41.0,78.0,78.0,78.0,78.0,4770.0
3790,1,0,1980.25,1,1,1,1,0,0,0,2,2,2,2,0,0,3,1,0,2,2,0,2.0,19.0,12.0,3.0,0,0,0,0,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0,4793.0
3801,1,1,1980.5,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,4,22.0,32.0,0.0,0.0,0,1,1,1,11.0,11.0,11.0,11.0,33.0,33.0,33.0,33.0,4267.0
3857,1,1,1980.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,4.0,14.0,8.0,0,0,0,0,11.0,11.0,11.0,11.0,32.0,32.0,32.0,32.0,4056.0
3869,1,0,1980.25,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,7.0,9.0,15.0,18.0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4569.0
3953,1,1,1980.0,0,2,2,2,0,0,0,2,2,2,2,1,1,0,0,0,0,0,4,15.0,16.0,31.0,0.0,0,0,1,0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,4260.0
4042,0,1,1980.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,6,0,11.0,4.0,28.0,11.0,1,0,0,0,11.0,11.0,11.0,11.0,23.0,23.0,23.0,23.0,4511.0
4063,0,0,1980.0,1,1,2,2,1,0,1,2,2,2,2,0,1,1,0,0,0,0,0,20.0,6.0,8.0,11.0,0,0,0,0,36.0,36.0,36.0,36.0,71.0,71.0,72.0,72.0,4221.0
4464,1,0,1980.0,0,2,2,2,1,1,1,2,2,2,2,0,0,1,1,4,0,0,2,0.0,10.0,27.0,19.0,0,0,0,0,33.0,33.0,33.0,33.0,67.0,67.0,67.0,67.0,4524.0
4569,0,1,1980.5,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,4,6,0,13.0,2.0,10.0,10.0,0,1,1,1,11.0,11.0,11.0,11.0,24.0,24.0,24.0,24.0,4409.0
4618,1,0,1979.5,0,0,0,0,1,1,1,2,2,2,2,0,0,1,0,0,0,0,0,20.0,19.0,19.0,22.0,0,0,0,0,31.0,31.0,31.0,31.0,64.0,64.0,64.0,64.0,4649.0
4778,0,0,1980.5,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,4,15.0,8.0,7.0,1.0,0,0,0,0,32.0,32.0,32.0,32.0,66.0,66.0,66.0,66.0,5120.0
4828,0,0,1980.25,0,2,2,2,1,1,1,2,2,2,2,1,1,0,0,0,1,0,0,10.0,10.0,13.0,30.0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4795.0
4844,1,1,1980.25,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,22.0,19.0,2.0,29.0,0,0,0,1,11.0,11.0,11.0,11.0,33.0,33.0,33.0,33.0,3966.0
4913,0,0,1980.0,0,2,2,2,1,1,1,2,2,2,2,0,0,0,0,0,2,0,2,16.0,16.0,8.0,12.0,0,0,0,0,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0,4553.0
4943,1,1,1980.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,6.0,13.0,33.0,18.0,1,1,1,1,11.0,11.0,11.0,11.0,19.0,19.0,19.0,19.0,4292.0
4958,0,0,1980.25,2,0,0,0,1,0,0,2,2,2,2,1,1,0,0,0,0,0,4,8.0,11.0,19.0,3.0,0,0,0,0,24.0,24.0,24.0,24.0,57.0,57.0,57.0,57.0,4422.0
5019,1,1,1980.5,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6,4,10.0,17.0,2.0,3.0,1,1,0,1,11.0,11.0,11.0,11.0,30.0,30.0,30.0,30.0,4434.0
5102,0,0,1980.25,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,0,0,0,0,8.0,10.0,18.0,11.0,0,0,1,0,24.0,24.0,24.0,24.0,57.0,57.0,57.0,57.0,4387.0
5164,0,0,1980.25,2,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,14.0,5.0,23.0,9.0,0,0,0,0,12.0,12.0,12.0,12.0,36.0,36.0,36.0,36.0,4235.0
5227,0,0,1980.5,2,2,2,2,0,0,0,2,2,2,2,1,0,0,1,0,0,0,0,12.0,21.0,14.0,9.0,0,0,0,0,41.0,41.0,41.0,41.0,79.0,79.0,79.0,79.0,4571.0
5415,0,0,1979.75,1,1,1,1,1,0,0,3,3,3,3,0,0,0,0,3,0,0,0,1.0,12.0,6.0,14.0,0,0,0,0,27.0,27.0,27.0,27.0,60.0,60.0,60.0,60.0,4686.0
5565,0,0,1980.25,2,2,2,2,1,1,1,2,2,2,2,0,1,0,1,0,0,3,0,10.0,9.0,2.0,15.0,0,0,0,0,34.0,34.0,34.0,34.0,68.0,68.0,68.0,68.0,4259.0
5599,1,0,1980.0,1,1,1,1,1,1,1,2,2,2,2,1,0,0,1,0,0,0,0,13.0,6.0,20.0,19.0,0,0,0,0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,4244.0
5613,0,0,1980.25,1,1,1,1,0,0,0,2,2,2,2,1,0,0,0,0,0,4,0,9.0,5.0,0.0,15.0,0,0,0,0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,4371.0
5659,0,0,1980.5,2,2,2,2,1,1,1,2,2,2,2,1,0,0,0,0,4,0,4,13.0,0.0,16.0,1.0,0,0,0,0,40.0,40.0,40.0,40.0,76.0,77.0,77.0,77.0,4409.0
5899,0,1,1980.5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,20.0,17.0,5.0,14.0,1,0,0,0,11.0,11.0,11.0,11.0,27.0,27.0,27.0,27.0,4463.0
5951,0,0,1980.0,2,2,2,2,1,1,1,2,2,2,2,1,1,1,0,0,0,0,0,5.0,23.0,20.0,9.0,0,0,0,0,12.0,12.0,12.0,12.0,34.0,34.0,34.0,34.0,4768.0
6065,0,0,1980.0,2,0,2,2,0,0,0,2,2,2,2,1,0,1,1,0,0,4,0,10.0,15.0,13.0,7.0,0,0,0,0,36.0,36.0,36.0,36.0,72.0,72.0,72.0,72.0,4857.0
6251,0,1,1980.5,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,5.0,1.0,12.0,29.0,0,1,0,1,11.0,11.0,11.0,11.0,29.0,29.0,29.0,33.0,4223.0
6280,1,0,1979.75,2,0,0,1,1,1,1,2,2,2,2,0,0,1,1,0,0,0,0,9.0,20.0,11.0,4.0,0,0,0,0,21.0,21.0,21.0,21.0,49.0,49.0,49.0,49.0,5127.0
6313,0,0,1980.5,1,1,0,0,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,6.0,12.0,26.0,17.0,0,0,0,0,29.0,29.0,29.0,29.0,62.0,62.0,62.0,62.0,4588.0
6393,0,0,1979.5,0,2,2,2,0,0,0,2,2,2,2,1,0,1,1,0,0,0,0,8.0,8.0,14.0,4.0,1,0,0,0,32.0,32.0,32.0,32.0,66.0,66.0,66.0,66.0,4260.0
6556,1,0,1980.25,1,1,1,1,0,0,0,2,2,2,2,3,1,1,1,0,0,0,0,8.0,3.0,12.0,14.0,0,0,0,0,41.0,41.0,41.0,41.0,78.0,78.0,78.0,78.0,4102.0
6592,1,0,1980.0,0,2,2,2,1,1,1,2,2,2,2,0,0,0,0,0,4,0,4,2.0,0.0,16.0,1.0,0,0,0,0,40.0,40.0,40.0,40.0,76.0,77.0,77.0,77.0,4468.0
6607,0,1,1980.0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,11.0,24.0,11.0,20.0,0,1,0,0,11.0,11.0,11.0,11.0,22.0,22.0,22.0,22.0,4700.0
6801,0,1,1980.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,7.0,1.0,12.0,14.0,0,0,1,1,11.0,11.0,11.0,11.0,22.0,22.0,22.0,22.0,4352.0
6824,1,0,1979.75,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,7.0,7.0,20.0,20.0,0,0,0,0,30.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0,4723.0
6990,0,1,1980.25,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,6,0,0.0,4.0,4.0,7.0,0,0,1,1,11.0,11.0,11.0,11.0,31.0,20.0,20.0,20.0,4094.0
7005,0,0,1980.25,1,1,1,1,1,1,1,2,2,2,2,0,1,1,1,0,0,6,0,21.0,4.0,29.0,11.0,0,0,1,0,24.0,24.0,24.0,24.0,56.0,56.0,56.0,56.0,4452.0
7015,1,1,1979.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0.0,14.0,32.0,29.0,0,0,1,1,11.0,11.0,11.0,11.0,31.0,31.0,31.0,33.0,4259.0
7033,0,1,1980.5,2,2,2,2,1,1,1,3,3,3,3,1,1,1,1,0,0,0,0,12.0,14.0,18.0,36.0,0,0,0,0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,10.0,4252.0
7079,1,0,1979.75,1,1,1,1,0,1,0,2,2,2,2,1,0,0,1,0,0,1,0,12.0,8.0,33.0,12.0,0,0,0,0,42.0,42.0,42.0,42.0,80.0,80.0,80.0,80.0,4314.0
7104,0,0,1980.0,2,0,2,2,0,1,1,2,2,2,2,1,0,0,0,0,6,6,4,20.0,12.0,5.0,3.0,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4655.0
7136,1,0,1980.0,2,0,0,0,1,1,1,2,2,2,2,1,0,0,0,0,0,0,0,5.0,6.0,12.0,14.0,0,0,0,0,12.0,12.0,12.0,12.0,34.0,34.0,34.0,34.0,5028.0
7311,0,1,1980.0,2,0,0,0,1,0,0,1,1,1,1,0,0,0,0,3,0,6,0,1.0,4.0,4.0,7.0,1,0,1,1,11.0,11.0,11.0,11.0,20.0,20.0,20.0,20.0,4351.0
7350,0,0,1979.75,2,2,2,2,0,0,0,2,2,2,2,1,0,0,0,0,0,0,6,9.0,20.0,19.0,2.0,0,0,0,0,31.0,31.0,31.0,31.0,65.0,65.0,65.0,65.0,4429.0
7367,1,0,1979.75,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,3,5.0,9.0,9.0,6.0,0,0,0,0,25.0,25.0,25.0,25.0,58.0,58.0,58.0,58.0,4425.0
7447,0,1,1979.75,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,3,3,3,3.0,1.0,2.0,3.0,0,0,0,0,18.0,18.0,18.0,18.0,44.0,44.0,44.0,44.0,4358.0
7504,0,1,1980.0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,4,1.0,21.0,5.0,2.0,0,0,0,1,11.0,11.0,11.0,11.0,26.0,26.0,26.0,26.0,4091.0
7520,1,0,1980.0,0,0,0,0,1,1,1,2,2,2,2,0,1,0,0,3,0,0,4,2.0,11.0,19.0,3.0,0,0,0,0,24.0,24.0,24.0,24.0,57.0,57.0,57.0,57.0,4091.0
7581,1,2,1980.25,2,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,6,0,0,17.0,22.0,20.0,19.0,0,0,1,0,18.0,18.0,18.0,18.0,43.0,43.0,43.0,43.0,4939.0
7610,0,0,1980.5,2,2,2,2,1,1,1,2,2,2,2,1,0,1,1,0,0,1,0,13.0,3.0,11.0,4.0,0,0,0,0,23.0,23.0,23.0,23.0,55.0,55.0,55.0,55.0,4127.0
7713,0,0,1980.0,2,0,0,0,0,0,0,2,2,2,2,1,0,1,0,0,0,0,0,9.0,8.0,9.0,24.0,0,0,0,0,31.0,31.0,31.0,31.0,65.0,65.0,65.0,65.0,4347.0
7831,1,1,1979.75,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,3,3,0,4,1.0,21.0,5.0,2.0,0,0,0,1,11.0,11.0,11.0,11.0,26.0,26.0,26.0,26.0,4087.0
7855,1,1,1980.0,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,0,4,0,0,7.0,4.0,19.0,19.0,0,0,0,1,22.0,22.0,22.0,22.0,54.0,54.0,54.0,54.0,4328.0
7901,1,0,1980.25,1,1,1,1,1,1,1,2,2,2,2,0,1,1,0,0,2,0,0,4.0,26.0,9.0,5.0,0,0,0,0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,4393.0
7945,0,0,1980.5,2,0,0,1,1,1,1,2,2,2,2,0,0,1,1,0,0,0,0,9.0,20.0,11.0,4.0,0,0,0,0,21.0,21.0,21.0,21.0,49.0,49.0,49.0,49.0,4274.0
8025,1,0,1980.5,0,2,2,2,1,1,0,2,2,2,2,0,0,1,1,4,0,0,2,0.0,10.0,27.0,19.0,0,0,0,0,33.0,33.0,33.0,33.0,67.0,67.0,67.0,67.0,4506.0
8118,0,1,1979.75,1,1,1,1,1,1,1,2,2,2,2,0,1,1,1,3,0,6,0,3.0,4.0,29.0,11.0,0,0,1,0,24.0,24.0,24.0,24.0,56.0,56.0,56.0,56.0,4348.0
8150,0,1,1979.75,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,6,0,0,15.0,3.0,30.0,22.0,1,0,1,0,11.0,11.0,11.0,11.0,26.0,26.0,26.0,26.0,4224.0
8205,0,0,1980.25,0,1,1,1,1,1,1,2,2,2,2,1,0,1,0,0,3,2,2,13.0,2.0,14.0,16.0,0,0,0,1,23.0,23.0,23.0,23.0,55.0,55.0,55.0,55.0,4220.0
8304,1,1,1980.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,4,0,0,0,3.0,14.0,13.0,19.0,1,1,0,1,22.0,22.0,22.0,22.0,53.0,53.0,53.0,53.0,4445.0
8374,1,0,1979.75,0,2,2,2,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,10.0,9.0,8.0,15.0,0,0,0,0,30.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0,4704.0
8587,1,1,1980.5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,6.0,2.0,9.0,26.0,0,0,0,1,11.0,11.0,11.0,11.0,16.0,16.0,16.0,16.0,4116.0
8636,0,0,1980.25,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,3,3,0,18.0,13.0,2.0,6.0,0,0,0,0,22.0,22.0,22.0,22.0,52.0,52.0,52.0,52.0,4295.0
8716,1,1,1980.25,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,4,6,1.0,21.0,2.0,22.0,1,0,0,0,11.0,11.0,11.0,11.0,14.0,14.0,14.0,14.0,4444.0
8729,1,0,1979.5,0,2,2,2,1,1,1,1,1,1,1,0,3,0,0,0,0,0,6,15.0,11.0,12.0,29.0,0,0,0,0,12.0,12.0,12.0,12.0,36.0,36.0,36.0,36.0,4070.0
8753,0,0,1980.0,0,2,2,2,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,10.0,9.0,15.0,15.0,0,0,0,0,30.0,30.0,30.0,30.0,63.0,63.0,63.0,63.0,4445.0
8903,1,1,1980.75,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,9.0,9.0,2.0,8.0,1,1,1,1,11.0,11.0,11.0,11.0,22.0,22.0,22.0,22.0,4404.0
9037,0,0,1980.25,0,0,0,0,1,0,0,2,2,2,2,0,0,1,1,0,0,3,0,4.0,12.0,1.0,18.0,0,0,0,0,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0,4965.0
9085,1,1,1980.25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2,0,0,16.0,14.0,16.0,9.0,1,0,1,0,22.0,22.0,22.0,22.0,51.0,51.0,51.0,51.0,4507.0
9117,1,0,1980.25,0,0,0,0,0,0,0,2,2,2,2,0,0,1,1,0,0,3,0,4.0,12.0,1.0,18.0,0,0,0,0,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0,4144.0
9137,1,0,1980.0,1,1,1,1,0,0,0,2,2,2,2,1,0,0,0,0,0,4,0,9.0,5.0,0.0,15.0,0,0,0,0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,4561.0
9168,0,1,1980.0,2,2,2,2,0,1,1,1,1,1,1,0,0,0,1,3,4,0,1,1.0,2.0,9.0,28.0,1,1,0,0,11.0,11.0,11.0,11.0,20.0,20.0,20.0,20.0,4664.0
9199,1,0,1980.0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,1,0,0,3,0,4.0,12.0,1.0,18.0,0,0,0,0,15.0,15.0,15.0,15.0,39.0,39.0,39.0,39.0,4909.0
9211,1,1,1980.5,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,4,0,4,12.0,1.0,11.0,8.0,1,1,0,0,11.0,11.0,11.0,11.0,25.0,25.0,25.0,25.0,4999.0
9247,1,0,1980.0,0,0,0,0,1,1,1,2,2,2,2,0,0,0,1,0,0,0,0,11.0,4.0,18.0,6.0,0,0,0,0,31.0,31.0,31.0,31.0,64.0,64.0,64.0,64.0,4111.0
9471,0,0,1980.0,0,2,2,2,1,1,0,2,2,2,2,1,0,0,0,0,0,0,6,12.0,20.0,19.0,2.0,0,0,0,0,31.0,31.0,31.0,31.0,65.0,65.0,65.0,65.0,5065.0
9542,1,0,1979.75,1,1,1,1,1,1,1,2,2,2,2,0,0,1,0,0,2,0,0,4.0,18.0,4.0,5.0,0,0,0,0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,4690.0
9681,1,0,1980.0,1,1,1,1,1,1,1,2,2,2,2,0,1,1,1,3,0,0,0,1.0,10.0,18.0,11.0,0,0,1,0,24.0,24.0,24.0,24.0,57.0,57.0,57.0,57.0,4257.0
9719,1,1,1979.75,0,2,2,2,0,0,0,2,2,2,2,0,0,0,1,1,0,0,0,10.0,9.0,23.0,15.0,0,0,0,0,34.0,34.0,34.0,34.0,68.0,68.0,68.0,68.0,4311.0
9744,0,0,1980.0,2,0,0,0,1,0,0,2,2,2,2,0,0,0,1,0,0,3,0,3.0,12.0,2.0,5.0,0,0,0,0,32.0,32.0,32.0,32.0,66.0,66.0,66.0,66.0,4656.0
9777,0,1,1980.0,1,1,1,1,1,1,1,2,2,2,2,0,0,1,0,0,6,0,0,12.0,6.0,15.0,13.0,0,0,0,0,21.0,21.0,21.0,21.0,50.0,50.0,49.0,49.0,4623.0
9790,0,0,1980.25,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,3,8.0,6.0,9.0,6.0,0,0,0,0,25.0,25.0,25.0,25.0,58.0,58.0,58.0,58.0,4429.0
9851,0,1,1980.5,2,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,6,2,0,21.0,0.0,22.0,26.0,1,1,0,0,11.0,11.0,11.0,11.0,23.0,23.0,23.0,23.0,4693.0
9984,0,1,1980.0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,1.0,24.0,11.0,20.0,1,1,0,0,11.0,11.0,11.0,11.0,22.0,22.0,22.0,22.0,4243.0
10023,1,0,1979.75,1,1,1,1,1,1,1,2,2,2,2,0,0,0,0,0,0,6,0,6.0,13.0,14.0,18.0,0,0,0,0,35.0,35.0,35.0,35.0,69.0,69.0,69.0,69.0,4444.0
10044,0,0,1980.25,2,2,2,2,0,0,0,2,2,2,2,0,1,0,1,0,0,0,1,9.0,11.0,7.0,17.0,0,1,0,0,21.0,21.0,21.0,21.0,49.0,49.0,49.0,49.0,4379.0
10225,1,1,1980.0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,12.0,1.0,1.0,11.0,0,1,0,1,18.0,18.0,18.0,18.0,45.0,45.0,45.0,45.0,4214.0
